Event,Date,Asset,Window,CAR
Event_37,2021-10-05,BTC,"[-10,30]",0.44920730650075025
Event_37,2021-10-05,GOLD,"[-10,30]",-0.004235393448281135
Event_37,2021-10-05,OIL,"[-10,30]",0.13944432990911262
Event_38,2021-12-30,BTC,"[-10,30]",-0.20873431618121158
Event_38,2021-12-30,GOLD,"[-10,30]",0.02843789557237117
Event_38,2021-12-30,OIL,"[-10,30]",0.0900234745991774
Event_39,2022-01-25,BTC,"[-10,30]",-0.018357008108226613
Event_39,2022-01-25,GOLD,"[-10,30]",0.018637566223817813
Event_39,2022-01-25,OIL,"[-10,30]",0.06443609764716116
Event_40,2022-03-16,BTC,"[-10,30]",0.09444403359186261
Event_40,2022-03-16,GOLD,"[-10,30]",-0.01734660351397035
Event_40,2022-03-16,OIL,"[-10,30]",-0.029934431653716575
Event_41,2022-04-22,BTC,"[-10,30]",-0.14792438971695906
Event_41,2022-04-22,GOLD,"[-10,30]",-0.04285626627569616
Event_41,2022-04-22,OIL,"[-10,30]",-0.010001149724552877
Event_42,2022-05-31,BTC,"[-10,30]",-0.18781428152168217
Event_42,2022-05-31,GOLD,"[-10,30]",0.00404835525210733
Event_42,2022-05-31,OIL,"[-10,30]",-0.018929863600585232
Event_43,2022-09-01,BTC,"[-10,30]",-0.09178653611579393
Event_43,2022-09-01,GOLD,"[-10,30]",-0.048413213722751494
Event_43,2022-09-01,OIL,"[-10,30]",-0.041299185581719175
Event_44,2022-11-08,BTC,"[-10,30]",-0.0593630448210329
Event_44,2022-11-08,GOLD,"[-10,30]",0.07609863691233418
Event_44,2022-11-08,OIL,"[-10,30]",-0.025519935681729694
Event_45,2022-12-27,BTC,"[-10,30]",0.047712606802693076
Event_45,2022-12-27,GOLD,"[-10,30]",0.04445179284814821
Event_45,2022-12-27,OIL,"[-10,30]",0.21314817530950103
Event_46,2023-06-26,BTC,"[-10,30]",0.05227822575729728
Event_46,2023-06-26,GOLD,"[-10,30]",-0.00012518181764069845
Event_46,2023-06-26,OIL,"[-10,30]",0.038046821172260985
Event_47,2023-10-06,BTC,"[-10,30]",0.12046241722090079
Event_47,2023-10-06,GOLD,"[-10,30]",0.029044209299982308
Event_47,2023-10-06,OIL,"[-10,30]",-0.06421993757914818
Event_48,2023-10-27,BTC,"[-10,30]",0.33779902669200057
Event_48,2023-10-27,GOLD,"[-10,30]",0.046943216571144364
Event_48,2023-10-27,OIL,"[-10,30]",-0.0810899730777585
Event_49,2023-12-04,BTC,"[-10,30]",0.09400219731997012
Event_49,2023-12-04,GOLD,"[-10,30]",0.03113340785180236
Event_49,2023-12-04,OIL,"[-10,30]",-0.05230235301706201
Event_50,2024-01-09,BTC,"[-10,30]",-0.14519024534169236
Event_50,2024-01-09,GOLD,"[-10,30]",-0.006255104702241696
Event_50,2024-01-09,OIL,"[-10,30]",0.05237535944951824
Event_51,2024-02-15,BTC,"[-10,30]",0.30941684939698194
Event_51,2024-02-15,GOLD,"[-10,30]",0.019593635057120428
Event_51,2024-02-15,OIL,"[-10,30]",0.05827668624036928
Event_52,2024-04-16,BTC,"[-10,30]",-0.3021976884132662
Event_52,2024-04-16,GOLD,"[-10,30]",0.002577602933027924
Event_52,2024-04-16,OIL,"[-10,30]",-0.008838264288304427
Event_53,2024-06-24,BTC,"[-10,30]",-0.2844959266747895
Event_53,2024-06-24,GOLD,"[-10,30]",-0.03782268014029196
Event_53,2024-06-24,OIL,"[-10,30]",0.09877703870834945
Event_54,2024-09-11,BTC,"[-10,30]",0.07301161909591787
Event_54,2024-09-11,GOLD,"[-10,30]",0.030442956000328147
Event_54,2024-09-11,OIL,"[-10,30]",-0.017484227126475634
Event_55,2024-09-26,BTC,"[-10,30]",0.07755525986734331
Event_55,2024-09-26,GOLD,"[-10,30]",0.02316316237813001
Event_55,2024-09-26,OIL,"[-10,30]",0.14069965648448812
Event_56,2024-11-18,BTC,"[-10,30]",0.3057923664930301
Event_56,2024-11-18,GOLD,"[-10,30]",-0.06397259658243822
Event_56,2024-11-18,OIL,"[-10,30]",0.01656491079989118
Event_57,2025-01-22,BTC,"[-10,30]",-0.06640673121454249
Event_57,2025-01-22,GOLD,"[-10,30]",0.06109214478185872
Event_57,2025-01-22,OIL,"[-10,30]",0.0029160883867520096
Event_58,2025-03-04,BTC,"[-10,30]",-0.22318681376743119
Event_58,2025-03-04,GOLD,"[-10,30]",-0.003943042012642948
Event_58,2025-03-04,OIL,"[-10,30]",-0.07779392555311908
Event_59,2025-04-04,BTC,"[-10,30]",-0.0348042685081353
Event_59,2025-04-04,GOLD,"[-10,30]",0.06358796467537742
Event_59,2025-04-04,OIL,"[-10,30]",-0.029753584713391353
Event_60,2025-05-26,BTC,"[-10,30]",0.05781969889953476
Event_60,2025-05-26,GOLD,"[-10,30]",0.0023010088313602803
Event_60,2025-05-26,OIL,"[-10,30]",0.1436646777709078
Event_61,2025-06-23,BTC,"[-10,30]",0.032440633909656985
Event_61,2025-06-23,GOLD,"[-10,30]",-0.03288039662492513
Event_61,2025-06-23,OIL,"[-10,30]",0.09480885973931315
Event_62,2025-09-10,BTC,"[-10,30]",-0.031494396291982495
Event_62,2025-09-10,GOLD,"[-10,30]",0.05765193706839591
Event_62,2025-09-10,OIL,"[-10,30]",0.014894526082793732
Event_63,2025-10-23,BTC,"[-10,30]",-0.25733225032272095
Event_63,2025-10-23,GOLD,"[-10,30]",-0.05521244182023661
Event_63,2025-10-23,OIL,"[-10,30]",-0.053009041310574156
Event_1,2015-03-27,BTC,"[-10,60]",-0.16038092345675115
Event_1,2015-03-27,GOLD,"[-10,60]",0.014851030168371922
Event_1,2015-03-27,OIL,"[-10,60]",0.06687336501173219
Event_2,2015-07-15,BTC,"[-10,60]",0.12373595536215481
Event_2,2015-07-15,GOLD,"[-10,60]",-0.0819877216005126
Event_2,2015-07-15,OIL,"[-10,60]",-0.14403139945786653
