Asset,Event,Date,Short_CAR,Medium_CAR,Long_CAR,Diff_Long_Short
BTC,Event_52,2024-04-16,-30.219768841326623,-30.219768841326623,-30.219768841326623,0.0
BTC,Event_53,2024-06-24,-28.449592667478953,-28.449592667478953,-28.449592667478953,0.0
BTC,Event_54,2024-09-11,7.301161909591787,7.301161909591787,7.301161909591787,0.0
BTC,Event_55,2024-09-26,7.755525986734331,7.755525986734331,7.755525986734331,0.0
BTC,Event_56,2024-11-18,30.57923664930301,30.57923664930301,30.57923664930301,0.0
BTC,Event_57,2025-01-22,-6.640673121454249,-6.640673121454249,-6.640673121454249,0.0
BTC,Event_58,2025-03-04,-22.31868137674312,-22.31868137674312,-22.31868137674312,0.0
BTC,Event_59,2025-04-04,-3.48042685081353,-3.48042685081353,-3.48042685081353,0.0
BTC,Event_6,2016-03-23,-8.87902475079024,-8.87902475079024,-8.87902475079024,0.0
BTC,Event_60,2025-05-26,5.781969889953476,5.781969889953476,5.781969889953476,0.0
BTC,Event_61,2025-06-23,3.2440633909656986,3.2440633909656986,3.2440633909656986,0.0
BTC,Event_62,2025-09-10,-3.1494396291982496,-3.1494396291982496,-3.1494396291982496,0.0
BTC,Event_63,2025-10-23,-25.733225032272095,-25.733225032272095,-25.733225032272095,0.0
BTC,Event_7,2016-09-19,0.5968820256745647,0.5968820256745647,0.5968820256745647,0.0
BTC,Event_8,2016-12-30,2.0329005729489107,2.0329005729489107,2.0329005729489107,0.0
BTC,Event_9,2017-02-10,16.892729496874637,16.892729496874637,16.892729496874637,0.0
GOLD,Event_1,2015-03-27,1.4851030168371921,1.4851030168371921,1.4851030168371921,0.0
GOLD,Event_10,2017-03-22,3.7258493852665318,3.7258493852665318,3.7258493852665318,0.0
GOLD,Event_11,2017-06-05,0.29510661229490825,0.29510661229490825,0.29510661229490825,0.0
GOLD,Event_12,2017-07-05,-1.0875354557581176,-1.0875354557581176,-1.0875354557581176,0.0
GOLD,Event_13,2017-08-10,2.436003744016888,2.436003744016888,2.436003744016888,0.0
GOLD,Event_14,2017-09-04,0.03788382929860454,0.03788382929860454,0.03788382929860454,0.0
GOLD,Event_15,2017-11-02,0.037539709610287256,0.037539709610287256,0.037539709610287256,0.0
GOLD,Event_16,2018-01-02,5.524441441333271,5.524441441333271,5.524441441333271,0.0
GOLD,Event_17,2018-04-12,-4.549091614048073,-4.549091614048073,-4.549091614048073,0.0
GOLD,Event_18,2018-05-23,-1.195356365556746,-1.195356365556746,-1.195356365556746,0.0
GOLD,Event_19,2018-07-23,-3.603907315694699,-3.603907315694699,-3.603907315694699,0.0
GOLD,Event_2,2015-07-15,-8.19877216005126,-8.19877216005126,-8.19877216005126,0.0
GOLD,Event_20,2018-11-13,1.6316007014761973,1.6316007014761973,1.6316007014761973,0.0
GOLD,Event_21,2019-01-02,4.164343627591289,4.164343627591289,4.164343627591289,0.0
GOLD,Event_22,2019-05-02,-1.4128236141205779,-1.4128236141205779,-1.4128236141205779,0.0
GOLD,Event_23,2019-06-14,8.47107461382035,8.47107461382035,8.47107461382035,0.0
GOLD,Event_24,2019-08-06,3.80632013375666,3.80632013375666,3.80632013375666,0.0
GOLD,Event_25,2019-09-16,-9.102050322976766,-9.102050322976766,-9.102050322976766,0.0
GOLD,Event_26,2019-11-13,-4.909429249054422,-4.909429249054422,-4.909429249054422,0.0
GOLD,Event_27,2020-01-09,4.274795406380242,4.274795406380242,4.274795406380242,0.0
GOLD,Event_28,2020-05-18,-0.049182961841572406,-0.049182961841572406,-0.049182961841572406,0.0
GOLD,Event_29,2020-06-22,4.920229972476513,4.920229972476513,4.920229972476513,0.0
GOLD,Event_3,2015-09-22,3.3854997223296093,3.3854997223296093,3.3854997223296093,0.0
GOLD,Event_30,2020-08-06,0.957854191424536,0.957854191424536,0.957854191424536,0.0
GOLD,Event_31,2020-09-10,-7.06657203453021,-7.06657203453021,-7.06657203453021,0.0
GOLD,Event_32,2020-11-03,-3.5960036209899884,-3.5960036209899884,-3.5960036209899884,0.0
GOLD,Event_33,2021-02-02,-4.10906015594066,-4.10906015594066,-4.10906015594066,0.0
GOLD,Event_34,2021-04-14,4.383762919055581,4.383762919055581,4.383762919055581,0.0
GOLD,Event_35,2021-06-22,-6.650268030405335,-6.650268030405335,-6.650268030405335,0.0
GOLD,Event_36,2021-08-23,3.7108173088193563,3.7108173088193563,3.7108173088193563,0.0
GOLD,Event_37,2021-10-05,-0.4235393448281135,-0.4235393448281135,-0.4235393448281135,0.0
GOLD,Event_38,2021-12-30,2.843789557237117,2.843789557237117,2.843789557237117,0.0
GOLD,Event_39,2022-01-25,1.8637566223817812,1.8637566223817812,1.8637566223817812,0.0
GOLD,Event_4,2015-11-16,-6.431329704907257,-6.431329704907257,-6.431329704907257,0.0
GOLD,Event_40,2022-03-16,-1.7346603513970351,-1.7346603513970351,-1.7346603513970351,0.0
GOLD,Event_41,2022-04-22,-4.2856266275696155,-4.2856266275696155,-4.2856266275696155,0.0
GOLD,Event_42,2022-05-31,0.40483552521073296,0.40483552521073296,0.40483552521073296,0.0
GOLD,Event_43,2022-09-01,-4.841321372275149,-4.841321372275149,-4.841321372275149,0.0
GOLD,Event_44,2022-11-08,7.609863691233418,7.609863691233418,7.609863691233418,0.0
GOLD,Event_45,2022-12-27,4.445179284814821,4.445179284814821,4.445179284814821,0.0
GOLD,Event_46,2023-06-26,-0.012518181764069845,-0.012518181764069845,-0.012518181764069845,0.0
GOLD,Event_47,2023-10-06,2.904420929998231,2.904420929998231,2.904420929998231,0.0
GOLD,Event_48,2023-10-27,4.694321657114436,4.694321657114436,4.694321657114436,0.0
GOLD,Event_49,2023-12-04,3.113340785180236,3.113340785180236,3.113340785180236,0.0
GOLD,Event_5,2016-01-01,4.789714315094127,4.789714315094127,4.789714315094127,0.0
GOLD,Event_50,2024-01-09,-0.6255104702241696,-0.6255104702241696,-0.6255104702241696,0.0
GOLD,Event_51,2024-02-15,1.9593635057120429,1.9593635057120429,1.9593635057120429,0.0
GOLD,Event_52,2024-04-16,0.2577602933027924,0.2577602933027924,0.2577602933027924,0.0
GOLD,Event_53,2024-06-24,-3.782268014029196,-3.782268014029196,-3.782268014029196,0.0
GOLD,Event_54,2024-09-11,3.0442956000328145,3.0442956000328145,3.0442956000328145,0.0
GOLD,Event_55,2024-09-26,2.316316237813001,2.316316237813001,2.316316237813001,0.0
GOLD,Event_56,2024-11-18,-6.397259658243821,-6.397259658243821,-6.397259658243821,0.0
GOLD,Event_57,2025-01-22,6.109214478185872,6.109214478185872,6.109214478185872,0.0
GOLD,Event_58,2025-03-04,-0.39430420126429483,-0.39430420126429483,-0.39430420126429483,0.0
GOLD,Event_59,2025-04-04,6.358796467537742,6.358796467537742,6.358796467537742,0.0
GOLD,Event_6,2016-03-23,-3.459559652684691,-3.459559652684691,-3.459559652684691,0.0
GOLD,Event_60,2025-05-26,0.23010088313602803,0.23010088313602803,0.23010088313602803,0.0
GOLD,Event_61,2025-06-23,-3.2880396624925132,-3.2880396624925132,-3.2880396624925132,0.0
GOLD,Event_62,2025-09-10,5.76519370683959,5.76519370683959,5.76519370683959,0.0
GOLD,Event_63,2025-10-23,-5.521244182023661,-5.521244182023661,-5.521244182023661,0.0
GOLD,Event_7,2016-09-19,-2.9241544359116594,-2.9241544359116594,-2.9241544359116594,0.0
GOLD,Event_8,2016-12-30,1.9874596042388197,1.9874596042388197,1.9874596042388197,0.0
GOLD,Event_9,2017-02-10,7.031621191235554,7.031621191235554,7.031621191235554,0.0
OIL,Event_1,2015-03-27,6.687336501173219,6.687336501173219,6.687336501173219,0.0
OIL,Event_10,2017-03-22,-6.8966597714656785,-6.8966597714656785,-6.8966597714656785,0.0
OIL,Event_11,2017-06-05,-12.521746499520564,-12.521746499520564,-12.521746499520564,0.0
OIL,Event_12,2017-07-05,11.480098264086097,11.480098264086097,11.480098264086097,0.0
OIL,Event_13,2017-08-10,-1.625821171578778,-1.625821171578778,-1.625821171578778,0.0
OIL,Event_14,2017-09-04,1.7435567106240106,1.7435567106240106,1.7435567106240106,0.0
OIL,Event_15,2017-11-02,5.8748455632695515,5.8748455632695515,5.8748455632695515,0.0
OIL,Event_16,2018-01-02,6.52401988649695,6.52401988649695,6.52401988649695,0.0
OIL,Event_17,2018-04-12,3.7661681795728654,3.7661681795728654,3.7661681795728654,0.0
OIL,Event_18,2018-05-23,-7.005071364973056,-7.005071364973056,-7.005071364973056,0.0
OIL,Event_19,2018-07-23,-11.125434111037887,-11.125434111037887,-11.125434111037887,0.0
OIL,Event_2,2015-07-15,-14.403139945786652,-14.403139945786652,-14.403139945786652,0.0
OIL,Event_20,2018-11-13,-19.28823392630411,-19.28823392630411,-19.28823392630411,0.0
OIL,Event_21,2019-01-02,-9.641418097939331,-9.641418097939331,-9.641418097939331,0.0
OIL,Event_22,2019-05-02,-1.3049775179850864,-1.3049775179850864,-1.3049775179850864,0.0
OIL,Event_23,2019-06-14,1.3930193305945606,1.3930193305945606,1.3930193305945606,0.0
OIL,Event_24,2019-08-06,-2.2627728566954954,-2.2627728566954954,-2.2627728566954954,0.0
OIL,Event_25,2019-09-16,-0.3803619780807222,-0.3803619780807222,-0.3803619780807222,0.0
OIL,Event_26,2019-11-13,7.138649036815437,7.138649036815437,7.138649036815437,0.0
OIL,Event_27,2020-01-09,-17.84698986581772,-17.84698986581772,-17.84698986581772,0.0
OIL,Event_28,2020-05-18,68.64131235915141,68.64131235915141,68.64131235915141,0.0
OIL,Event_29,2020-06-22,1.1730618329218023,1.1730618329218023,1.1730618329218023,0.0
OIL,Event_3,2015-09-22,6.449805120867705,6.449805120867705,6.449805120867705,0.0
OIL,Event_30,2020-08-06,-2.68036796866065,-2.68036796866065,-2.68036796866065,0.0
OIL,Event_31,2020-09-10,-4.142277474154717,-4.142277474154717,-4.142277474154717,0.0
OIL,Event_32,2020-11-03,-21.87987441113057,-21.87987441113057,-21.87987441113057,0.0
OIL,Event_33,2021-02-02,3.9045814576352758,3.9045814576352758,3.9045814576352758,0.0
OIL,Event_34,2021-04-14,2.025172366741308,2.025172366741308,2.025172366741308,0.0
OIL,Event_35,2021-06-22,-0.3903852371327534,-0.3903852371327534,-0.3903852371327534,0.0
OIL,Event_36,2021-08-23,-3.1113290441118964,-3.1113290441118964,-3.1113290441118964,0.0
OIL,Event_37,2021-10-05,13.944432990911263,13.944432990911263,13.944432990911263,0.0
OIL,Event_38,2021-12-30,9.00234745991774,9.00234745991774,9.00234745991774,0.0
OIL,Event_39,2022-01-25,6.443609764716116,6.443609764716116,6.443609764716116,0.0
OIL,Event_4,2015-11-16,-9.131309977164317,-9.131309977164317,-9.131309977164317,0.0
OIL,Event_40,2022-03-16,-2.9934431653716573,-2.9934431653716573,-2.9934431653716573,0.0
OIL,Event_41,2022-04-22,-1.0001149724552878,-1.0001149724552878,-1.0001149724552878,0.0
OIL,Event_42,2022-05-31,-1.8929863600585233,-1.8929863600585233,-1.8929863600585233,0.0
OIL,Event_43,2022-09-01,-4.1299185581719176,-4.1299185581719176,-4.1299185581719176,0.0
OIL,Event_44,2022-11-08,-2.5519935681729695,-2.5519935681729695,-2.5519935681729695,0.0
OIL,Event_45,2022-12-27,21.3148175309501,21.3148175309501,21.3148175309501,0.0
OIL,Event_46,2023-06-26,3.8046821172260983,3.8046821172260983,3.8046821172260983,0.0
